log_id,seat_id,phone_number,usage_id,ticket_type,remaining_time,action,description,created_at
1,23,010-8616-5677,1028,TIME,360,CHECK_IN,23번 좌석 사용자 입실,2026-07-01 08:10:08
2,2,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-01 10:34:38
3,23,010-8616-5677,1028,TIME,147,FORCE_CHECKOUT,23번 좌석 관리자 강제 퇴실,2026-07-01 11:43:08
4,4,010-4947-4735,1054,PERIOD,,CHECK_IN,4번 좌석 사용자 입실,2026-07-01 13:10:43
5,10,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-01 14:00:33
6,11,010-6039-7227,1044,TIME,360,CHECK_IN,11번 좌석 사용자 입실,2026-07-01 16:34:54
7,11,010-6039-7227,1044,TIME,309,FORCE_CHECKOUT,11번 좌석 관리자 강제 퇴실,2026-07-01 17:25:54
8,7,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-01 19:33:20
9,7,010-2450-5512,1020,PERIOD,,CHECK_IN,7번 좌석 사용자 입실,2026-07-01 20:08:58
10,4,010-1473-3575,1080,TIME,120,CHECK_IN,4번 좌석 사용자 입실,2026-07-01 21:06:30
11,3,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-01 21:40:26
12,4,010-4947-4735,1054,PERIOD,,CHECK_OUT,4번 좌석 정상 퇴실,2026-07-01 22:04:43
13,4,010-1473-3575,1080,TIME,18,CHECK_OUT,4번 좌석 정상 퇴실,2026-07-01 22:48:30
14,2,010-1133-4717,1091,TIME,720,CHECK_IN,2번 좌석 사용자 입실,2026-07-01 23:03:23
15,2,010-1133-4717,1091,TIME,644,CHECK_OUT,2번 좌석 정상 퇴실,2026-07-02 00:19:23
16,24,010-1221-2066,1037,TIME,360,CHECK_IN,24번 좌석 사용자 입실,2026-07-02 03:17:41
17,5,010-3065-6284,1079,TIME,360,CHECK_IN,5번 좌석 사용자 입실,2026-07-02 03:22:44
18,7,010-2450-5512,1020,PERIOD,,CHECK_OUT,7번 좌석 정상 퇴실,2026-07-02 04:31:58
19,5,010-3065-6284,1079,TIME,222,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-02 05:40:44
20,13,010-6039-7227,1046,PERIOD,,CHECK_IN,13번 좌석 사용자 입실,2026-07-02 05:53:34
21,24,010-1221-2066,1037,TIME,0,AUTO_CHECKOUT,24번 좌석 이용시간 종료로 자동 퇴실,2026-07-02 06:32:41
22,6,010-2866-6006,1102,TIME,360,CHECK_IN,6번 좌석 사용자 입실,2026-07-02 06:41:41
23,13,010-6039-7227,1046,PERIOD,,FORCE_CHECKOUT,13번 좌석 관리자 강제 퇴실,2026-07-02 07:15:34
24,19,010-1473-3575,1114,TIME,240,CHECK_IN,19번 좌석 사용자 입실,2026-07-02 08:42:31
25,6,010-2866-6006,1102,TIME,219,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-02 09:02:41
26,19,010-1473-3575,1114,TIME,213,CHECK_OUT,19번 좌석 정상 퇴실,2026-07-02 09:09:31
27,19,010-8540-1633,1032,PERIOD,,CHECK_IN,19번 좌석 사용자 입실,2026-07-02 10:32:09
28,24,010-1266-2009,1082,TIME,360,CHECK_IN,24번 좌석 사용자 입실,2026-07-02 10:45:54
29,9,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-02 11:02:57
30,24,010-1266-2009,1082,TIME,0,AUTO_CHECKOUT,24번 좌석 이용시간 종료로 자동 퇴실,2026-07-02 12:11:54
31,13,010-1133-4717,1024,PERIOD,,CHECK_IN,13번 좌석 사용자 입실,2026-07-02 12:54:13
32,18,010-1133-4717,1115,TIME,720,CHECK_IN,18번 좌석 사용자 입실,2026-07-02 16:20:21
33,18,010-1133-4717,1115,TIME,653,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-02 17:27:21
34,19,010-8540-1633,1032,PERIOD,,AUTO_CHECKOUT,19번 좌석 이용시간 종료로 자동 퇴실,2026-07-02 18:35:09
35,13,010-1133-4717,1024,PERIOD,,CHECK_OUT,13번 좌석 정상 퇴실,2026-07-02 20:56:13
36,1,010-5030-5494,1106,TIME,360,CHECK_IN,1번 좌석 사용자 입실,2026-07-03 02:09:57
37,3,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-03 02:21:25
38,3,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-03 02:22:40
39,1,010-5030-5494,1106,TIME,66,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-03 07:03:57
40,22,010-6447-1353,1099,TIME,240,CHECK_IN,22번 좌석 사용자 입실,2026-07-03 08:40:37
41,22,010-6447-1353,1099,TIME,161,CHECK_OUT,22번 좌석 정상 퇴실,2026-07-03 09:59:37
42,12,010-8822-8988,1013,TIME,720,CHECK_IN,12번 좌석 사용자 입실,2026-07-03 11:21:17
43,18,010-5687-9332,1086,PERIOD,,CHECK_IN,18번 좌석 사용자 입실,2026-07-03 12:55:31
44,17,010-5030-5494,1062,TIME,540,CHECK_IN,17번 좌석 사용자 입실,2026-07-03 13:06:48
45,18,010-5687-9332,1086,PERIOD,,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-03 15:47:31
46,12,010-8822-8988,1013,TIME,369,CHECK_OUT,12번 좌석 정상 퇴실,2026-07-03 17:12:17
47,3,010-5409-3075,1064,TIME,540,CHECK_IN,3번 좌석 사용자 입실,2026-07-03 18:00:22
48,17,010-5030-5494,1062,TIME,245,CHECK_OUT,17번 좌석 정상 퇴실,2026-07-03 18:01:48
49,3,010-5409-3075,1064,TIME,229,CHECK_OUT,3번 좌석 정상 퇴실,2026-07-03 23:11:22
50,14,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-04 09:00:57
51,22,010-4947-4735,1042,TIME,720,CHECK_IN,22번 좌석 사용자 입실,2026-07-04 10:39:15
52,12,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-04 10:42:17
53,1,010-2601-3972,1051,PERIOD,,CHECK_IN,1번 좌석 사용자 입실,2026-07-04 14:52:20
54,6,010-9611-3023,1038,TIME,120,CHECK_IN,6번 좌석 사용자 입실,2026-07-04 15:00:07
55,22,010-4947-4735,1042,TIME,431,CHECK_OUT,22번 좌석 정상 퇴실,2026-07-04 15:28:15
56,6,010-9611-3023,1038,TIME,64,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-04 15:56:07
57,1,010-2601-3972,1051,PERIOD,,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-04 16:35:20
58,13,010-5084-2082,1002,TIME,120,CHECK_IN,13번 좌석 사용자 입실,2026-07-04 18:43:28
59,5,010-2313-2364,1026,TIME,240,CHECK_IN,5번 좌석 사용자 입실,2026-07-04 18:54:23
60,5,010-2313-2364,1026,TIME,209,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-04 19:25:23
61,13,010-5084-2082,1002,TIME,26,FORCE_CHECKOUT,13번 좌석 관리자 강제 퇴실,2026-07-04 20:17:28
62,19,010-9888-3363,1049,TIME,240,CHECK_IN,19번 좌석 사용자 입실,2026-07-04 21:58:32
63,8,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-04 22:30:07
64,20,010-8540-1633,1021,TIME,360,CHECK_IN,20번 좌석 사용자 입실,2026-07-04 23:19:41
65,19,010-9888-3363,1049,TIME,0,AUTO_CHECKOUT,19번 좌석 이용시간 종료로 자동 퇴실,2026-07-05 00:27:32
66,20,010-8540-1633,1021,TIME,269,CHECK_OUT,20번 좌석 정상 퇴실,2026-07-05 00:50:41
67,22,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-05 00:51:09
68,10,010-6449-9869,1120,PERIOD,,CHECK_IN,10번 좌석 사용자 입실,2026-07-05 04:11:25
69,16,010-8782-2438,1098,PERIOD,,CHECK_IN,16번 좌석 사용자 입실,2026-07-05 04:34:51
70,15,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-05 05:28:53
71,10,010-6449-9869,1120,PERIOD,,CHECK_OUT,10번 좌석 정상 퇴실,2026-07-05 06:44:25
72,6,010-5084-2082,1004,PERIOD,,CHECK_IN,6번 좌석 사용자 입실,2026-07-05 09:00:59
73,16,010-8782-2438,1098,PERIOD,,AUTO_CHECKOUT,16번 좌석 이용시간 종료로 자동 퇴실,2026-07-05 09:29:51
74,6,010-5084-2082,1004,PERIOD,,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-05 11:32:59
75,6,010-9888-3363,1077,PERIOD,,CHECK_IN,6번 좌석 사용자 입실,2026-07-05 14:16:37
76,6,010-9888-3363,1077,PERIOD,,AUTO_CHECKOUT,6번 좌석 이용시간 종료로 자동 퇴실,2026-07-05 15:32:37
77,1,010-3065-6284,1015,TIME,240,CHECK_IN,1번 좌석 사용자 입실,2026-07-05 19:29:15
78,19,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-05 20:20:52
79,1,010-3065-6284,1015,TIME,115,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-05 21:34:15
80,13,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-06 04:15:18
81,24,010-2291-8638,1071,TIME,240,CHECK_IN,24번 좌석 사용자 입실,2026-07-06 04:59:02
82,25,010-3539-4290,1033,TIME,540,CHECK_IN,25번 좌석 사용자 입실,2026-07-06 05:17:54
83,19,010-6447-1353,1074,PERIOD,,CHECK_IN,19번 좌석 사용자 입실,2026-07-06 07:26:52
84,24,010-2291-8638,1071,TIME,0,AUTO_CHECKOUT,24번 좌석 이용시간 종료로 자동 퇴실,2026-07-06 08:40:02
85,6,010-5689-4540,1073,TIME,240,CHECK_IN,6번 좌석 사용자 입실,2026-07-06 10:08:10
86,21,010-2866-6006,1045,PERIOD,,CHECK_IN,21번 좌석 사용자 입실,2026-07-06 10:39:43
87,25,010-3539-4290,1033,TIME,186,CHECK_OUT,25번 좌석 정상 퇴실,2026-07-06 11:11:54
88,21,010-2866-6006,1045,PERIOD,,FORCE_CHECKOUT,21번 좌석 관리자 강제 퇴실,2026-07-06 11:30:43
89,4,010-7597-5162,1035,TIME,120,CHECK_IN,4번 좌석 사용자 입실,2026-07-06 13:21:49
90,6,010-5689-4540,1073,TIME,21,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-06 13:47:10
91,19,010-6447-1353,1074,PERIOD,,CHECK_OUT,19번 좌석 정상 퇴실,2026-07-06 13:59:52
92,4,010-7597-5162,1035,TIME,0,AUTO_CHECKOUT,4번 좌석 이용시간 종료로 자동 퇴실,2026-07-06 14:02:49
93,3,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-06 14:49:34
94,14,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-06 19:49:30
95,6,010-1221-2066,1119,PERIOD,,CHECK_IN,6번 좌석 사용자 입실,2026-07-07 01:57:25
96,6,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-07 02:22:12
97,21,010-2866-6006,1030,PERIOD,,CHECK_IN,21번 좌석 사용자 입실,2026-07-07 03:09:55
98,21,010-2866-6006,1030,PERIOD,,CHECK_OUT,21번 좌석 정상 퇴실,2026-07-07 04:23:55
99,15,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-07 05:15:55
100,17,010-1016-9346,1043,PERIOD,,CHECK_IN,17번 좌석 사용자 입실,2026-07-07 07:04:43
101,17,010-1016-9346,1043,PERIOD,,CHECK_OUT,17번 좌석 정상 퇴실,2026-07-07 07:50:43
102,14,010-9304-7483,1118,TIME,720,CHECK_IN,14번 좌석 사용자 입실,2026-07-07 09:07:23
103,6,010-1221-2066,1119,PERIOD,,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-07 09:15:25
104,17,010-7597-5162,1093,TIME,540,CHECK_IN,17번 좌석 사용자 입실,2026-07-07 09:49:41
105,8,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-07 10:00:23
106,17,010-7597-5162,1093,TIME,432,CHECK_OUT,17번 좌석 정상 퇴실,2026-07-07 11:37:41
107,14,010-2407-7080,1103,TIME,720,CHECK_IN,14번 좌석 사용자 입실,2026-07-07 11:57:24
108,22,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-07 14:27:03
109,14,010-9304-7483,1118,TIME,344,CHECK_OUT,14번 좌석 정상 퇴실,2026-07-07 15:23:23
110,6,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-07 16:44:33
111,14,010-2407-7080,1103,TIME,0,AUTO_CHECKOUT,14번 좌석 이용시간 종료로 자동 퇴실,2026-07-07 18:08:24
112,5,010-3065-6284,1023,TIME,360,CHECK_IN,5번 좌석 사용자 입실,2026-07-07 18:52:15
113,19,010-8540-1633,1052,TIME,120,CHECK_IN,19번 좌석 사용자 입실,2026-07-07 19:14:37
114,4,010-5745-3431,1031,PERIOD,,CHECK_IN,4번 좌석 사용자 입실,2026-07-07 19:57:29
115,22,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-07 20:38:11
116,19,010-8540-1633,1052,TIME,0,AUTO_CHECKOUT,19번 좌석 이용시간 종료로 자동 퇴실,2026-07-07 21:08:37
117,5,010-3065-6284,1023,TIME,150,CHECK_OUT,5번 좌석 정상 퇴실,2026-07-07 22:22:15
118,1,010-5030-5494,1017,TIME,360,CHECK_IN,1번 좌석 사용자 입실,2026-07-07 22:22:35
